# Program:featureCounts v2.0.7; Command:"featureCounts" "-a" "gtf_test.gtf" "-o" "SRR23584814_small_counts.txt" "SRR23584814_small_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR23584814_small_Aligned.sortedByCoord.out.bam
ENSG00000242349.1	chr1;chr1;chr1;chr1;chr1;chr1;chr1	11901074;11903761;11903918;11905604;11905604;11907491;11907634	11901264;11904130;11904130;11905823;11905823;11907741;11908136	+;+;+;+;+;+;+	1427	0
ENSG00000175206.6	chr1;chr1;chr1;chr1;chr1;chr1	11905766;11905936;11907170;11907170;11907619;11908138	11906071;11906071;11907496;11907496;11907840;11908402	-;-;-;-;-;-	1120	0
ENSG00000120937.8	chr1;chr1;chr1	11917521;11918271;11918759	11917728;11918526;11918988	-;-;-	694	0
ENSG00000224904.1	chr1	11937827	11940463	+	2637	0
ENSG00000199347.1	chr1	11968209	11968328	+	120	0
ENSG00000201801.1	chr1	11969865	11969984	-	120	0
ENSG00000116685.11	chr1;chr1;chr1;chr1;chr1	11979648;11982232;11982693;11985262;11985262	11980389;11983546;11983546;11986485;11986480	-;-;-;-;-	3281	0
ENSG00000083444.12	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	11994262;11994751;11994791;11994792;11994800;11994810;12004579;12004579;12008033;12008033;12008033;12008033;12008033;12008033;12009830;12009830;12009830;12009830;12009830;12009830;12010414;12010414;12010414;12010414;12010414;12010414;12012680;12012680;12012680;12012680;12012680;12012680;12014358;12014631;12014887;12014887;12014887;12014887;12016974;12016974;12016974;12016974;12017147;12017899;12017899;12017899;12017899;12017899;12018573;12018573;12018573;12018573;12020703;12020703;12023589;12023589;12024232;12024232;12024701;12024701;12024745;12024759;12025537;12025537;12025537;12025537;12026308;12026308;12026308;12026308;12027044;12027044;12027044;12030727;12030727;12031600;12032929;12032929;12034710;12034710;12034710;12035340	11994380;11994912;11994912;11994912;11994912;11994912;12004719;12004719;12008124;12008124;12008124;12008124;12008124;12008124;12009963;12009963;12009963;12009963;12009963;12009963;12010577;12010577;12010577;12010577;12010577;12010577;12012792;12012792;12012792;12012792;12012748;12012792;12014950;12014824;12014950;12014950;12014950;12014950;12017071;12017071;12017071;12017071;12017250;12018000;12018000;12018000;12018000;12018000;12018650;12018704;12018704;12018677;12020824;12020824;12023693;12023693;12024357;12024357;12024842;12024842;12024842;12024842;12025650;12025650;12025650;12025650;12026373;12026471;12026373;12026373;12027148;12027148;12027148;12030873;12030873;12033054;12033054;12033054;12035593;12035594;12035150;12035595	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5320	0
ENSG00000116688.12	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	12040238;12040356;12040369;12040427;12040492;12041867;12042027;12042027;12042027;12042049;12042580;12049222;12049222;12049222;12049222;12049222;12049222;12052336;12052612;12052612;12052612;12052612;12056213;12056213;12057354;12057354;12058827;12058827;12059045;12059045;12061458;12061458;12061826;12061826;12062039;12062039;12064049;12064049;12064566;12064566;12064882;12064882;12065768;12065768;12066595;12066595;12067110;12067110;12069649;12069649;12071553;12071553	12040541;12040541;12040541;12040541;12040541;12041910;12042171;12042171;12042171;12042171;12042647;12049400;12049400;12049400;12049291;12049400;12049400;12052520;12052730;12052697;12052747;12052747;12056375;12056375;12057478;12057478;12058935;12058935;12059152;12059152;12061611;12061611;12061893;12061893;12062160;12062160;12064175;12064175;12064670;12064670;12064984;12064984;12065988;12065988;12066750;12066750;12067306;12067306;12069783;12069783;12073565;12073571	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4973	0
ENSG00000270914.1	chr1	12077273	12077365	-	93	0
ENSG00000116691.6	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	12079523;12079523;12079590;12081702;12081702;12082152;12082152;12082152;12082279;12082890;12082890;12082890;12082890;12082921;12088778;12089090;12089090;12089090;12089090;12089090;12089153;12089280;12089280;12089280;12089280;12089280;12089280;12089280;12089822;12089822;12089822;12089822;12090085;12090085;12090085;12091184;12091323;12091323;12091323;12091323;12091323;12091598;12091779;12091779;12091779;12091779;12091779	12079609;12079609;12079609;12081897;12081897;12082499;12082499;12082499;12082499;12082974;12082974;12082974;12082974;12082974;12089198;12089198;12089198;12089198;12089198;12089198;12089198;12089664;12089951;12089338;12089338;12090181;12089338;12089338;12089951;12089951;12089951;12089912;12090181;12090181;12090181;12091460;12091460;12091460;12091460;12091460;12091460;12092082;12092096;12092032;12092100;12092095;12092102	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2821	0
ENSG00000202461.1	chr1	12084069	12084181	-	113	0
ENSG00000243539.2	chr1	12096799	12097071	-	273	0
ENSG00000120949.10	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	12123434;12123527;12123527;12144521;12157158;12157158;12157158;12164436;12164436;12164436;12169623;12169623;12169623;12170098;12170098;12170098;12171955;12171955;12171955;12175634;12175634;12175634;12183341;12183341;12183341;12183772;12183772;12183772;12185956;12185991;12186008;12186008;12186008;12186240;12186240;12186240;12186240;12186240;12195645;12195645;12195645;12195645;12195645;12198286;12198286;12198289;12198289;12202344;12202344;12202344;12202344;12202344	12123718;12123718;12123718;12144608;12157274;12157274;12157274;12164588;12164588;12164588;12169713;12169713;12169713;12170261;12170261;12170261;12172071;12172071;12172071;12175786;12175786;12175786;12183434;12183434;12183434;12183884;12183884;12183884;12186109;12186109;12186109;12186109;12186109;12186293;12186293;12186293;12186293;12186293;12195670;12195670;12195670;12195670;12195670;12198493;12198493;12198493;12198493;12204264;12204264;12203174;12203174;12204264	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3738	0
ENSG00000201135.1	chr1	12137938	12138041	-	104	0
ENSG00000227875.2	chr1	12140350	12140604	-	255	0
ENSG00000028137.12	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	12227060;12227060;12227060;12248853;12248853;12251014;12251014;12251014;12251831;12251831;12251831;12251895;12252405;12252405;12252488;12252488;12252920;12252920;12252920;12254012;12254012;12254641;12254641;12262024;12262024;12266797;12266797	12227226;12227226;12227226;12248952;12248952;12251142;12251142;12251142;12251980;12251980;12251980;12251980;12252415;12252581;12252581;12252581;12253065;12253155;12253155;12254089;12254089;12254675;12254675;12262228;12262228;12269285;12269285	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3766	0
ENSG00000263676.1	chr1	12251770	12251830	+	61	0
ENSG00000225196.2	chr1	12280851	12281166	-	316	0
ENSG00000252969.1	chr1	12281205	12281328	-	124	0
ENSG00000048707.9	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	12290124;12290124;12294248;12294248;12302570;12302570;12304303;12304303;12304481;12304594;12304594;12304594;12309280;12309280;12309280;12313779;12313779;12313791;12316333;12316390;12316390;12317044;12317044;12317044;12317992;12317992;12317992;12320750;12320750;12321005;12321005;12321958;12321958;12326938;12326938;12327902;12327902;12328763;12328763;12331051;12331051;12333060;12333060;12335882;12335882;12337178;12339556;12339556;12339556;12342762;12342762;12342762;12348280;12348280;12348280;12351055;12351055;12351055;12353581;12353581;12353581;12359259;12359259;12359259;12359338;12364563;12364563;12364563;12364563;12368488;12368488;12368488;12368488;12371511;12371511;12371511;12371511;12371583;12371870;12371870;12371870;12371870;12371870;12374172;12374172;12374172;12374172;12374172;12378129;12378129;12378129;12378129;12378129;12379554;12379554;12379554;12379554;12379554;12381866;12381866;12381866;12381866;12381866;12382593;12382593;12382593;12382593;12382593;12383763;12383763;12383763;12383763;12383763;12387705;12387705;12387705;12387705;12387705;12389886;12389886;12389886;12389886;12389886;12393283;12393283;12393283;12393283;12393283;12395762;12395762;12395762;12395762;12395762;12398288;12398288;12401837;12401837;12401837;12401840;12402956;12402956;12402956;12402956;12404922;12405431;12405431;12405431;12405431;12405431;12406662;12406662;12406662;12406662;12406662;12408880;12408880;12408880;12408880;12408880;12409221;12409221;12409221;12409221;12414031;12414031;12414031;12414031;12415956;12415956;12415956;12415956;12416455;12416455;12416455;12416455;12418515;12418515;12418515;12418515;12422776;12422776;12422776;12422776;12423128;12423128;12423128;12423128;12427725;12428523;12428523;12428523;12428523;12428523;12429522;12429522;12429522;12429522;12429522;12433805;12433805;12433805;12433805;12433805;12438482;12438482;12438482;12438482;12439542;12439542;12439542;12439542;12443035;12443035;12443035;12443035;12445319;12445319;12445319;12445319;12446244;12446244;12446244;12446244;12460238;12460238;12460238;12460238;12460367;12461661;12461661;12461661;12461661;12461661;12462621;12463878;12463878;12463878;12463878;12463878;12467307;12469891;12469924;12475140;12475140;12475140;12475140;12475140;12475140;12475140;12476713;12476713;12476713;12476713;12476713;12476713;12476713;12516054;12516054;12516054;12516054;12516054;12520256;12520256;12520256;12520256;12520295;12524995;12538604;12557280;12557554;12557554;12557554;12557554;12557554;12557554;12557554;12566907;12566907;12566907;12566907;12566907;12566907;12566907;12566907;12568947;12568947;12568947;12568947;12568947;12568947;12568947	12290177;12290177;12294420;12294420;12302647;12302647;12304493;12304493;12304493;12304674;12304674;12304674;12309660;12309396;12309396;12313883;12313883;12313883;12316560;12316560;12316560;12317144;12317144;12317144;12318012;12318160;12318160;12320851;12320851;12321206;12321206;12322137;12322137;12327068;12327068;12327977;12327977;12328933;12328933;12331181;12331181;12333192;12333192;12338095;12338095;12338095;12339707;12339707;12339707;12343793;12343793;12343793;12348370;12348370;12348370;12351181;12351181;12351181;12353761;12353761;12353761;12359441;12359441;12359441;12359441;12364785;12364785;12364785;12364785;12368698;12368698;12368698;12368698;12371682;12371682;12371682;12371682;12371682;12371982;12371982;12371982;12371982;12371982;12374384;12374384;12374384;12374384;12374384;12378394;12378394;12378394;12378394;12378394;12379687;12379687;12379687;12379687;12379687;12382021;12382021;12382021;12382021;12382021;12382803;12382803;12382803;12382803;12382803;12383837;12383837;12383837;12383837;12383837;12387911;12387911;12387911;12387911;12387911;12389975;12389975;12389975;12389975;12389975;12393423;12393423;12393423;12393423;12393423;12398045;12395884;12395884;12395884;12395884;12398362;12398362;12401942;12401942;12401942;12401942;12403108;12403108;12403108;12403108;12405067;12405566;12405566;12405566;12405566;12405566;12406709;12406709;12406709;12406709;12406709;12409030;12409431;12409030;12409030;12409030;12409306;12409431;12409431;12409431;12414278;12414278;12414278;12414278;12416147;12416147;12416147;12416147;12416581;12416581;12416581;12416581;12418657;12418657;12418657;12418657;12422906;12422906;12422906;12422906;12423303;12423303;12423303;12423303;12427756;12428646;12428646;12428646;12428646;12428646;12429757;12429757;12429757;12429757;12429757;12433913;12433903;12433913;12433913;12433913;12438645;12438645;12438645;12438645;12439650;12439650;12439650;12439650;12443214;12443214;12443214;12443214;12445432;12445432;12445432;12445432;12446393;12446393;12446393;12446393;12460387;12460387;12460387;12460387;12460387;12461757;12461757;12461757;12461757;12461757;12462755;12464001;12464026;12464026;12464026;12464026;12467383;12469947;12469947;12475274;12475274;12475274;12475274;12475274;12475274;12475274;12476880;12476880;12476880;12476880;12476880;12476880;12476880;12516186;12516127;12516186;12516186;12516186;12520451;12520451;12520451;12520451;12520451;12525304;12538928;12557685;12557685;12557685;12557685;12557685;12557685;12557685;12557685;12567147;12566961;12567147;12567147;12567147;12567147;12567147;12567147;12569753;12572099;12570415;12572099;12570415;12572099;12572099	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	20346	0
ENSG00000239149.1	chr1	12567300	12567451	+	152	0
ENSG00000229484.1	chr1;chr1	12587766;12588094	12587834;12588462	+;+	438	0
ENSG00000162496.4	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	12627939;12628421;12632756;12632756;12638746;12638746;12639321;12639321;12639796;12640551;12640551;12640551;12655999;12676564;12676564;12677159	12628453;12628453;12632881;12632881;12638984;12638984;12639440;12639440;12640694;12640694;12640694;12640694;12656321;12676700;12676799;12677737	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3037	0
ENSG00000221340.1	chr1	12630000	12630100	-	101	0
ENSG00000272482.1	chr1	12678906	12679250	-	345	0
ENSG00000204518.2	chr1;chr1;chr1;chr1	12704566;12711142;12721802;12725972	12704733;12711358;12721865;12727097	+;+;+;+	1575	0
ENSG00000226166.2	chr1	12752925	12753036	+	112	0
ENSG00000188984.7	chr1;chr1;chr1;chr1;chr1;chr1;chr1	12776118;12776146;12779477;12780885;12780885;12785189;12785189	12776347;12776347;12779693;12780948;12780948;12785963;12788726	+;+;+;+;+;+;+	4049	0
ENSG00000238771.1	chr1	12799693	12799796	+	104	0
ENSG00000157330.5	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	12806163;12806335;12806373;12813307;12815650;12819243;12819243;12820703;12820703	12806489;12806489;12806489;12813875;12815763;12819420;12819420;12821102;12823847	+;+;+;+;+;+;+;+;+	4333	0
ENSG00000116726.4	chr1;chr1;chr1	12834984;12835686;12837154	12835297;12836261;12838049	+;+;+	1786	0
ENSG00000116721.9	chr1;chr1;chr1;chr1;chr1;chr1	12851546;12853352;12854064;12854840;12855587;12855587	12851623;12853663;12854642;12855118;12856777;12856634	+;+;+;+;+;+	2439	0
ENSG00000228338.1	chr1;chr1	12882549;12882899	12882802;12883022	-;-	378	0
ENSG00000204513.5	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	12884468;12884805;12887108;12887108;12888357;12888357;12891210;12891210	12885361;12885361;12887689;12887689;12888664;12888664;12891264;12891264	-;-;-;-;-;-;-;-	1839	0
ENSG00000231103.2	chr1;chr1;chr1;chr1	12897978;12898336;12899955;12900928	12898057;12898812;12900531;12901210	-;-;-;-	1417	0
ENSG00000179172.7	chr1;chr1	12907261;12908534	12908323;12908578	-;-	1108	0
ENSG00000120952.4	chr1;chr1;chr1;chr1	12916941;12918840;12919548;12921076	12917002;12919151;12920126;12921764	+;+;+;+	1642	0
ENSG00000243073.3	chr1;chr1;chr1;chr1	12939045;12941675;12942923;12945971	12939926;12942256;12943231;12946025	-;-;-;-	1828	0
ENSG00000187545.5	chr1;chr1;chr1;chr1	12952727;12954417;12955392;12958047	12953305;12954995;12955703;12958101	-;-;-;-	1525	0
ENSG00000204510.1	chr1;chr1;chr1;chr1;chr1;chr1;chr1	12976450;12977488;12977513;12978182;12978182;12979672;12979672	12976507;12977799;12977799;12978757;12978757;12980569;12980233	+;+;+;+;+;+;+	1844	0
ENSG00000207434.1	chr1	12982374	12982480	+	107	0
ENSG00000234064.1	chr1;chr1	12985990;12987523	12986569;12988081	+;+	1139	0
ENSG00000232423.3	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	12998181;12998302;12998484;12998505;13000814;13000814;13000814;13002062;13002062;13002062;13005183;13007343;13108514;13108635;13111146;13111146;13111146;13112394;13112394;13112394;13115515;13117674;13117674	12999066;12999066;12999066;12999066;13001395;13001395;13001395;13002348;13002370;13002370;13005246;13007420;13109399;13109399;13111727;13111727;13111727;13112702;13112702;13112702;13115578;13117751;13117736	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3838	0
ENSG00000250894.1	chr1;chr1;chr1	13012966;13014497;13015469	13013473;13015072;13015755	-;-;-	1371	0
ENSG00000204508.3	chr1;chr1;chr1	13035543;13036222;13037808	13035835;13036800;13038381	+;+;+	1446	0
ENSG00000239810.2	chr1	13052394	13052998	-	605	0
ENSG00000270601.1	chr1;chr1;chr1	13108842;13111146;13112394	13109399;13111727;13112679	-;-;-	1426	0
ENSG00000250113.1	chr1;chr1;chr1	13123246;13124828;13125800	13123804;13125403;13126086	-;-;-	1422	0
ENSG00000204505.3	chr1;chr1;chr1	13140456;13141129;13144439	13140742;13141707;13145000	+;+;+	1428	0
ENSG00000233336.1	chr1;chr1	13146777;13146997	13146900;13147256	+;+	384	0
ENSG00000229978.1	chr1;chr1;chr1;chr1;chr1	13162645;13162851;13164185;13164185;13165157	13163233;13163233;13164468;13164760;13165443	-;-;-;-;-	1452	0
ENSG00000236179.1	chr1;chr1	13171871;13172846	13172449;13173157	-;-	891	0
ENSG00000179412.8	chr1;chr1;chr1	13182960;13182993;13184265	13184053;13183872;13184326	-;-;-	1156	0
ENSG00000224199.1	chr1;chr1;chr1	13196270;13196953;13198479	13196556;13197528;13199067	+;+;+	1452	0
ENSG00000229571.2	chr1;chr1	13216356;13219000	13217249;13219581	-;-	1476	0
ENSG00000204503.5	chr1;chr1;chr1;chr1;chr1;chr1	13328196;13328196;13330414;13330414;13331379;13331379	13329406;13329406;13330992;13330992;13331692;13331692	-;-;-;-;-;-	2104	0
ENSG00000233394.1	chr1;chr1;chr1	13351482;13352165;13353765	13351768;13352740;13354323	+;+;+	1422	0
ENSG00000204502.2	chr1;chr1;chr1;chr1	13359819;13364869;13365844;13368172	13359896;13365177;13366425;13369057	+;+;+;+	1855	0
ENSG00000231219.1	chr1;chr1	13379149;13380743	13379721;13381237	-;-	1068	0
ENSG00000207511.1	chr1	13384735	13384841	-	107	0
ENSG00000182330.6	chr1;chr1;chr1;chr1	13386646;13388458;13389416;13390708	13387543;13389033;13389727;13390765	-;-;-;-	1844	0
ENSG00000237700.1	chr1;chr1;chr1	13411551;13412234;13413924	13411837;13412812;13414482	+;+;+	1425	0
ENSG00000204501.2	chr1;chr1;chr1;chr1	13421176;13423987;13424967;13427298	13421253;13424295;13425548;13428191	+;+;+;+	1863	0
ENSG00000228229.2	chr1;chr1	13429634;13429854	13429757;13430113	+;+	384	0
ENSG00000204495.3	chr1;chr1;chr1;chr1	13447414;13449560;13450550;13452579	13448608;13450138;13450861;13452656	-;-;-;-	2164	0
ENSG00000204491.2	chr1;chr1;chr1	13474689;13476271;13477236	13475262;13476849;13477522	-;-;-	1440	0
ENSG00000204488.3	chr1;chr1;chr1	13495254;13495967;13497570	13495570;13496545;13498260	+;+;+	1587	0
ENSG00000204486.3	chr1;chr1;chr1;chr1;chr1;chr1;chr1	13516066;13521969;13521973;13523737;13523737;13526312;13526312	13516160;13522259;13522259;13524315;13524315;13526873;13526943	+;+;+;+;+;+;+	1597	0
ENSG00000204485.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1	13607431;13607745;13609243;13609243;13610201;13610201;13611493	13608328;13608328;13609818;13609818;13610512;13610487;13611550	-;-;-;-;-;-;-	1844	0
ENSG00000224581.1	chr1;chr1;chr1	13632348;13633031;13634721	13632634;13633609;13635279	+;+;+	1425	0
ENSG00000157358.7	chr1;chr1;chr1;chr1	13641973;13644784;13645764;13648095	13642050;13645092;13646345;13648988	+;+;+;+	1863	0
ENSG00000204481.6	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	13668269;13668411;13668743;13669939;13670415;13670559;13671405;13671405;13673434;13673434	13669463;13669463;13669463;13670217;13670993;13670993;13671716;13671796;13673511;13673511	-;-;-;-;-;-;-;-;-;-	2523	0
ENSG00000204480.6	chr1;chr1;chr1;chr1;chr1;chr1	13694889;13695525;13697107;13697107;13698072;13698072	13696098;13696098;13697685;13697685;13698405;13698151	-;-;-;-;-;-	2123	0
ENSG00000204479.4	chr1;chr1;chr1	13716092;13716801;13718404	13716404;13717379;13719089	+;+;+	1578	0
ENSG00000204478.5	chr1;chr1;chr1;chr1;chr1;chr1;chr1	13736907;13742808;13742808;13744597;13744597;13747172;13747172	13737001;13743098;13743098;13745175;13745175;13747803;13747803	+;+;+;+;+;+;+	1597	0
ENSG00000162494.5	chr1;chr1	13801445;13839458	13802567;13840543	-;-	2209	0
ENSG00000259961.1	chr1;chr1;chr1	13839715;13840786;13842665	13839836;13841039;13842765	+;+;+	477	0
ENSG00000215909.3	chr1;chr1	13881496;13882108	13881784;13882189	+;+	371	0
ENSG00000162493.12	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	13909960;13910257;13910327;13910328;13910588;13910762;13910765;13911956;13911967;13911975;13922322;13922322;13933668;13933668;13933668;13933668;13933668;13933668;13933668;13933668;13933668;13933668;13936882;13936882;13936882;13936882;13936882;13936882;13936882;13936882;13940182;13940182;13940182;13940182;13940182;13940182;13940182;13940182;13940182;13940795;13940795;13940795;13940795;13940795;13940795;13940795;13940795;13940795;13942400;13942400;13942400;13942400;13942400;13942400;13942400;13942400	13910595;13910595;13910595;13910595;13910683;13910836;13910836;13912134;13912063;13912134;13922479;13922479;13933801;13933801;13933801;13933801;13933801;13933801;13933716;13933801;13933801;13933801;13937011;13937011;13937011;13937011;13937011;13937011;13937011;13937011;13940220;13940220;13940220;13940220;13940220;13940220;13940220;13940220;13940220;13940900;13940900;13940906;13940906;13940906;13940906;13941009;13940900;13940906;13942742;13942754;13942412;13943059;13943277;13942459;13944452;13944452	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3707	0
ENSG00000222952.1	chr1	13949679	13949779	-	101	0
ENSG00000266358.1	chr1	13950397	13950497	-	101	0
ENSG00000237445.2	chr1;chr1	13983806;13986072	13983850;13986405	-;-	379	0
ENSG00000253085.1	chr1	14022565	14022694	-	130	0
